experiment,feature_group,classifier,features,true_positives,false_negatives,false_positives,true_negatives,BET_FRACTIONAL_INTENSITY_THRESHOLD,BET_VERTICAL_GRADIENT_THRESHOLD,FEAT_SPATIAL_SMOOTHING_FWHM,FEAT_RESAMPLING_RESOLUTION_MM,FEAT_DELETE_VOLUMES,FEAT_BRAIN_BACKGROUND_THRESHOLD,MELODIC_DIMENSIONALITY_REDUCTION,EFFECTIVE_MELODIC_DIMENSIONALITY_REDUCTION,FEATURES_SELECTED,MELODIC_APPROACH,FIX_THRESHOLD_PARAMETER,FIX_REGRESS_MOTION,DR_PERMUTATIONS,DR_NORMALIZE,accuracy,specificity,sensitivity,precision,f_measure,uniq
v2_group1_dim0_fwhm2_resamp4_fixthr29_bbt11_maconcat_rm1,fcpc,HoeffdingTree,1-21,30,6,5,31,0.3,0,2,4,3,11,0,55,44,concat,29,1,5000,1,0.8472222222222222,0.8611111111111112,0.8333333333333334,0.8571428571428571,0.8450704225352113,0.3#0#2#4#3#11#0#concat#29#1#5000#1
v2_group1_dim25_fwhm4_resamp4_fixthr28_bbt10_maconcat_rm1,fcpc,MultilayerPerceptron__H_a_a_a,1-33,30,6,5,31,0.3,0,4,4,3,10,25,25,38,concat,28,1,5000,1,0.8472222222222222,0.8611111111111112,0.8333333333333334,0.8571428571428571,0.8450704225352113,0.3#0#4#4#3#10#25#concat#28#1#5000#1
v2_group1_dim25_fwhm4_resamp4_fixthr28_bbt11_maconcat_rm1,fcpc,SGD,1-27,30,6,5,31,0.3,0,4,4,3,11,25,25,46,concat,28,1,5000,1,0.8472222222222222,0.8611111111111112,0.8333333333333334,0.8571428571428571,0.8450704225352113,0.3#0#4#4#3#11#25#concat#28#1#5000#1
v2_group1_dim25_fwhm2_resamp4_fixthr30_bbt10_maconcat_rm1,fcpc,HoeffdingTree,1-40,31,5,6,30,0.3,0,2,4,3,10,25,25,41,concat,30,1,5000,1,0.8472222222222222,0.8333333333333334,0.8611111111111112,0.8378378378378378,0.8493150684931507,0.3#0#2#4#3#10#25#concat#30#1#5000#1
v2_group1_dim25_fwhm2_resamp4_fixthr31_bbt10_maconcat_rm1,fcpc,ClassificationViaClustering,1-25,31,5,6,30,0.3,0,2,4,3,10,25,25,36,concat,31,1,5000,1,0.8472222222222222,0.8333333333333334,0.8611111111111112,0.8378378378378378,0.8493150684931507,0.3#0#2#4#3#10#25#concat#31#1#5000#1
v2_group1_dim25_fwhm4_resamp4_fixthr29_bbt11_maconcat_rm1,fcpc,RBFClassifier,1-29,32,4,7,29,0.3,0,4,4,3,11,25,25,43,concat,29,1,5000,1,0.8472222222222222,0.8055555555555556,0.8888888888888888,0.8205128205128205,0.8533333333333333,0.3#0#4#4#3#11#25#concat#29#1#5000#1
v2_group1_dim25_fwhm4_resamp4_fixthr30_bbt11_maconcat_rm1,fcpc,RBFClassifier,1-10,32,4,7,29,0.3,0,4,4,3,11,25,25,46,concat,30,1,5000,1,0.8472222222222222,0.8055555555555556,0.8888888888888888,0.8205128205128205,0.8533333333333333,0.3#0#4#4#3#11#25#concat#30#1#5000#1
v2_group1_dim25_fwhm2_resamp4_fixthr31_bbt9_maconcat_rm1,fcpc,ClassificationViaClustering,1-19,33,3,8,28,0.3,0,2,4,3,9,25,25,38,concat,31,1,5000,1,0.8472222222222222,0.7777777777777778,0.9166666666666666,0.8048780487804879,0.8571428571428571,0.3#0#2#4#3#9#25#concat#31#1#5000#1
v2_group1_dim25_fwhm0_resamp4_fixthr29_bbt11_maconcat_rm1,fcpc,SysFor,1-24,27,9,3,33,0.3,0,0,4,3,11,25,25,48,concat,29,1,5000,1,0.8333333333333334,0.9166666666666666,0.75,0.9,0.8181818181818182,0.3#0#0#4#3#11#25#concat#29#1#5000#1
v2_group1_dim25_fwhm4_resamp4_fixthr29_bbt9_maconcat_rm1,fcpc,ClassificationViaClustering,1-21,28,8,4,32,0.3,0,4,4,3,9,25,25,42,concat,29,1,5000,1,0.8333333333333334,0.8888888888888888,0.7777777777777778,0.875,0.823529411764706,0.3#0#4#4#3#9#25#concat#29#1#5000#1
v2_group1_dim25_fwhm0_resamp4_fixthr30_bbt11_maconcat_rm1,fcpc,MultilayerPerceptron__H_a_a,1-45,29,7,5,31,0.3,0,0,4,3,11,25,25,49,concat,30,1,5000,1,0.8333333333333334,0.8611111111111112,0.8055555555555556,0.8529411764705882,0.8285714285714286,0.3#0#0#4#3#11#25#concat#30#1#5000#1
v2_group1_dim25_fwhm4_resamp4_fixthr31_bbt10_maconcat_rm1,fcpc,MultilayerPerceptron,1-08,29,7,5,31,0.3,0,4,4,3,10,25,25,43,concat,31,1,5000,1,0.8333333333333334,0.8611111111111112,0.8055555555555556,0.8529411764705882,0.8285714285714286,0.3#0#4#4#3#10#25#concat#31#1#5000#1
v2_group1_dim25_fwhm0_resamp4_fixthr31_bbt11_maconcat_rm1,fc,MultilayerPerceptron__H_a_a_a,1-22,30,6,6,30,0.3,0,0,4,3,11,25,25,29,concat,31,1,5000,1,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.3#0#0#4#3#11#25#concat#31#1#5000#1
v2_group1_dim25_fwhm0_resamp4_fixthr29_bbt9_maconcat_rm1,pc,MultilayerPerceptron,1-18,31,5,7,29,0.3,0,0,4,3,9,25,25,18,concat,29,1,5000,1,0.8333333333333334,0.8055555555555556,0.8611111111111112,0.8157894736842105,0.8378378378378377,0.3#0#0#4#3#9#25#concat#29#1#5000#1
v2_group1_dim25_fwhm0_resamp4_fixthr31_bbt9_maconcat_rm1,fcpc,LibLINEAR,1-10,31,5,7,29,0.3,0,0,4,3,9,25,25,35,concat,31,1,5000,1,0.8333333333333334,0.8055555555555556,0.8611111111111112,0.8157894736842105,0.8378378378378377,0.3#0#0#4#3#9#25#concat#31#1#5000#1
v2_group1_dim25_fwhm2_resamp4_fixthr0_bbt11_maconcat_rm1,fcpc,SMO,1-35,31,5,7,29,0.3,0,2,4,3,11,25,25,35,concat,0,1,5000,1,0.8333333333333334,0.8055555555555556,0.8611111111111112,0.8157894736842105,0.8378378378378377,0.3#0#2#4#3#11#25#concat#0#1#5000#1
v2_group1_dim25_fwhm4_resamp4_fixthr29_bbt10_maconcat_rm1,fcpc,RBFClassifier,1-09,30,6,7,29,0.3,0,4,4,3,10,25,25,41,concat,29,1,5000,1,0.8194444444444444,0.8055555555555556,0.8333333333333334,0.8108108108108109,0.8219178082191781,0.3#0#4#4#3#10#25#concat#29#1#5000#1
